31139036;11.10.2023 00:00:00;2212028;605,0000
31106210;11.10.2023 00:00:00;2231057;606,0000
31111764;11.10.2023 00:00:00;1251016;1211,0000
31153677;11.10.2023 00:00:00;1723011;1815,0000
31140497;11.10.2023 00:00:00;1281049;606,0000
31111599;11.10.2023 00:00:00;1586044;1211,0000
31113791;11.10.2023 00:00:00;1633038;4240,0000
31119867;11.10.2023 00:00:00;2397011;485,0000
31150695;11.10.2023 00:00:00;2972078;1000,0000
31157558;11.10.2023 00:00:00;1243169;1200,0000
31122255;11.10.2023 00:00:00;2653024;2939,0000
31144156;11.10.2023 00:00:00;1491178;1210,0000
31147454;11.10.2023 00:00:00;1821021;2425,0000
31158477;11.10.2023 00:00:00;1712060;1210,0000
31145225;11.10.2023 00:00:00;1352010;165,0000
31172351;11.10.2023 00:00:00;0712016;1210,0000
31152986;11.10.2023 00:00:00;0461060;2832,0000
31158345;11.10.2023 00:00:00;2382058;1200,0000
31153368;11.10.2023 00:00:00;1231085;1210,0000
31105999;11.10.2023 00:00:00;1891044;4000,0000
31125835;11.10.2023 00:00:00;1155041;1205,0000
31125031;11.10.2023 00:00:00;1513020;365,0000
31129914;11.10.2023 00:00:00;1173078;1062,0000
31100205;11.10.2023 00:00:00;3652049;1816,0000
31110096;11.10.2023 00:00:00;3691020;1210,0000
31124865;11.10.2023 00:00:00;1413048;1500,0000
31145452;11.10.2023 00:00:00;2711079;1469,0000
31107284;11.10.2023 00:00:00;1193044;1850,0000
31122408;11.10.2023 00:00:00;3282074;1211,0000
31119442;11.10.2023 00:00:00;3461057;1000,0000
31159865;11.10.2023 00:00:00;3461050;1800,0000
31159869;11.10.2023 00:00:00;3461058;1250,0000
31132822;11.10.2023 00:00:00;3651004;1000,0000
31127242;11.10.2023 00:00:00;2171080;606,0000
31142014;11.10.2023 00:00:00;1414069;1207,0000
31157539;11.10.2023 00:00:00;1243115;3000,0000
31104923;11.10.2023 00:00:00;2711071;1211,0000
31141258;11.10.2023 00:00:00;3653045;1461,0000
31124241;11.10.2023 00:00:00;0491028;1332,0000
31111196;11.10.2023 00:00:00;1531031;1800,0000
31131038;11.10.2023 00:00:00;2211025;3027,0000
31118016;11.10.2023 00:00:00;3151027;606,0000
31143312;11.10.2023 00:00:00;1333067;1815,0000
31110799;11.10.2023 00:00:00;1192026;606,0000
31117304;11.10.2023 00:00:00;2831039;666,0000
